,"mathsat5","{0}",,,,,,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_005.smt2.slack.smt2",0,0.040521694214876,0.047,0.139,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_006.smt2.slack.smt2",,886.065226598899,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_008.smt2.slack.smt2",0,0.113844144536352,0.125,0.247,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_009.smt2.slack.smt2",0,0.123608193277311,0.141,0.244,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_001.smt2.slack.smt2",0,0.0279978586723769,0.031,0.14,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_002.smt2.slack.smt2",0,0.0624105011933174,0.063,1.313,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_003.smt2.slack.smt2",0,19.1037655435219,22.766,23.757,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_004.smt2.slack.smt2",0,0.0161499505928853,0.016,0.161,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_005.smt2.slack.smt2",,855.973813420622,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_006.smt2.slack.smt2",0,6.37705386855241,7.328,7.674,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_007.smt2.slack.smt2",0,0.560902701715955,0.734,0.85,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_008.smt2.slack.smt2",0,0.0140049271636675,0.016,0.144,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_010.smt2.slack.smt2",,879.73086627418,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_011.smt2.slack.smt2",0,0.687289739276703,0.781,0.909,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_012.smt2.slack.smt2",,863.748967795211,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_013.smt2.slack.smt2",0,0.0407574812967581,0.047,0.137,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_014.smt2.slack.smt2",0,2.08949260886936,2.5,2.697,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_001.smt2.slack.smt2",,1075.57840616967,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_002.smt2.slack.smt2",,876.413908671973,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_003.smt2.slack.smt2",,938.116591928251,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_004.smt2.slack.smt2",,920.774647887324,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_005.smt2.slack.smt2",,934.345690040196,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_006.smt2.slack.smt2",,977.570093457944,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_007.smt2.slack.smt2",,913.138367525098,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_008.smt2.slack.smt2",0,0.027654399323181,0.031,0.13,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_009.smt2.slack.smt2",,949.614162505674,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_010.smt2.slack.smt2",,1025.99313388916,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_011.smt2.slack.smt2",,985.398021667452,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_012.smt2.slack.smt2",,884.566596194503,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_013.smt2.slack.smt2",,873.851294903926,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_014.smt2.slack.smt2",0,20.8832757467677,22.391,23.351,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_015.smt2.slack.smt2",0,0.0302802223251505,0.031,0.25,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_016.smt2.slack.smt2",,918.752744839701,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_001.smt2.slack.smt2",,968.967114404817,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_002.smt2.slack.smt2",,1020.48780487805,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_003.smt2.slack.smt2",,803.996925441968,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_004.smt2.slack.smt2",,933.928571428571,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_005.smt2.slack.smt2",,859.137577002053,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_006.smt2.slack.smt2",0,196.487111205795,220.438,229.508,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_007.smt2.slack.smt2",,957.437070938215,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_008.smt2.slack.smt2",0,271.285531448074,265.969,276.76,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_009.smt2.slack.smt2",,960.514233241506,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_010.smt2.slack.smt2",,874.581939799331,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_012.smt2.slack.smt2",,911.944202266783,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_013.smt2.slack.smt2",,928.12777284827,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_014.smt2.slack.smt2",,942.342342342342,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_015.smt2.slack.smt2",,917.946467749013,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_016.smt2.slack.smt2",,904.453091223519,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_001.smt2.slack.smt2",,900.559621179509,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_002.smt2.slack.smt2",,1151.98237885463,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_003.smt2.slack.smt2",0,655.77382892057,769.563,800.776,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_004.smt2.slack.smt2",0,686.394808445799,753.656,784.234,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_005.smt2.slack.smt2",,898.239587805925,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_006.smt2.slack.smt2",0,0.0285106846925425,0.031,0.148,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_007.smt2.slack.smt2",,967.622571692877,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_008.smt2.slack.smt2",0,0.0137689553496209,0.016,0.146,0,1,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_009.smt2.slack.smt2",,952.64116575592,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_010.smt2.slack.smt2",,892.491467576792,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_011.smt2.slack.smt2",,899.011602922217,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_012.smt2.slack.smt2",,1022.98288508557,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_013.smt2.slack.smt2",,898.625429553265,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_014.smt2.slack.smt2",,940.647482014389,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_015.smt2.slack.smt2",,906.412478336222,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_016.smt2.slack.smt2",,897.468897468897,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_017.smt2.slack.smt2",,895.547945205479,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_018.smt2.slack.smt2",,902.502157031924,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_019.smt2.slack.smt2",,917.946467749013,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_020.smt2.slack.smt2",0,448.939303402239,498.297,518.5,0,1,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage0.smt2",0,0.0776425178147268,0.094,0.186,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage1.smt2",0,5.61858511953834,6.516,6.834,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage10.smt2",0,821.357003498385,729.484,758.67,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage11.smt2",0,8.44415878239408,9.813,10.233,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage12.smt2",0,0.65258984028394,0.703,0.823,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage13.smt2",0,5.55426464063887,5.984,6.265,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage14.smt2",0,2.20861486486486,2.422,2.589,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage15.smt2",0,5.17628141204627,6.203,6.525,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage16.smt2",0,0.379023390643743,0.453,0.771,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage17.smt2",0,22.078271288453,23.672,24.595,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage18.smt2",0,3.63813965884861,4.078,4.342,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage19.smt2",0,0.187936344969199,0.219,0.34,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage2.smt2",0,3.87203305235138,4.172,4.343,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage20.smt2",0,19.4786659991099,20.922,21.809,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage21.smt2",0,2.03512793176972,2.281,2.467,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage22.smt2",0,0.409476241900648,0.453,0.579,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage23.smt2",0,2.14260632071791,2.625,2.771,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage24.smt2",0,5.52136201427439,6.656,6.955,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage3.smt2",0,0.0580079858030169,0.063,0.188,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage4.smt2",0,6.38236365528726,7.328,7.76,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage5.smt2",0,14.3042735042735,16,16.719,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage6.smt2",0,1.85946856287425,2.078,2.256,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage7.smt2",0,6.35894825107811,6.344,6.719,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage8.smt2",0,2.61096094439541,2.828,2.929,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage9.smt2",0,42.062984496124,46.688,48.567,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage0.smt2",,857.025809094633,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage1.smt2",,864.105741429162,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage10.smt2",,981.238273921201,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage11.smt2",,970.7656612529,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage12.smt2",,907.198612315698,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage13.smt2",,916.739702015776,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage14.smt2",0,108.94960968775,130.094,135.345,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage15.smt2",,870.940882597835,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage16.smt2",,1025.49019607843,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage17.smt2",,762.946754194019,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage18.smt2",,846.620801295022,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage19.smt2",,926.073483842408,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage2.smt2",,977.570093457944,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage20.smt2",,894.781864841745,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage21.smt2",,892.872385830132,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage22.smt2",0,214.078521505376,237.922,247.721,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage23.smt2",,1132.03463203463,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage24.smt2",,910.35683202785,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage3.smt2",0,20.3536379018613,23,25.178,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage4.smt2",0,48.3124743115495,56.188,58.588,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage5.smt2",,934.763181411975,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage6.smt2",,927.304964539007,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage7.smt2",,878.622427551449,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage8.smt2",0,534.771519543258,582.063,605.287,1,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd025v30c/unbd-sage9.smt2",,865.177832919768,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage0.smt2",,901.724137931034,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage1.smt2",,917.946467749013,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage10.smt2",,880.471380471381,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage11.smt2",,869.131699210636,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage12.smt2",,874.216464688675,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage13.smt2",,868.410128684101,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage14.smt2",,903.281519861831,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage15.smt2",,881.584492203961,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage16.smt2",,886.440677966102,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage17.smt2",,880.471380471381,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage18.smt2",,964.499769479023,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage19.smt2",,991.469194312796,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage2.smt2",,909.169926119079,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage20.smt2",,909.169926119079,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage21.smt2",,909.565217391304,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage22.smt2",,927.304964539007,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage23.smt2",,895.547945205479,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage24.smt2",,907.592190889371,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage3.smt2",,923.212709620477,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage4.smt2",,854.924397221087,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage5.smt2",,881.213142375737,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage6.smt2",,950.477055883689,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage7.smt2",,931.84855233853,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage8.smt2",,864.462809917355,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage9.smt2",,889.455782312925,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage0.smt2",,881.213142375737,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage1.smt2",,861.969509682736,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage10.smt2",,851.098454027665,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage11.smt2",,851.444851444851,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage12.smt2",,858.784893267652,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage13.smt2",,936.017897091723,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage14.smt2",,911.149825783972,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage15.smt2",,845.936109987869,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage16.smt2",,821.681068342498,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage17.smt2",,972.118959107807,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage18.smt2",,890.212765957447,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage19.smt2",,927.716186252772,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage2.smt2",,903.281519861831,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage20.smt2",,897.468897468897,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage21.smt2",,951.341518872215,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage22.smt2",,884.192730346577,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage23.smt2",,904.844290657439,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage24.smt2",,884.192730346577,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage3.smt2",,893.635198633063,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage4.smt2",,947.034857401539,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage5.smt2",,956.124314442413,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage6.smt2",,935.599284436494,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage7.smt2",,1009.65250965251,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage8.smt2",,904.062229904927,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd075v83c/unbd-sage9.smt2",,869.49293433084,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage0.smt2",,858.784893267652,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage1.smt2",,883.073026593499,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage10.smt2",,890.591741166454,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage11.smt2",,959.633027522936,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage12.smt2",,898.625429553265,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage13.smt2",,869.131699210636,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage14.smt2",,894.017094017094,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage15.smt2",,850.406504065041,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage16.smt2",,922.805469783855,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage17.smt2",,941.070625281152,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage18.smt2",,1014.54898157129,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage19.smt2",,835.797043547743,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage2.smt2",,864.105741429162,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage20.smt2",,916.338151554972,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage21.smt2",,909.565217391304,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage22.smt2",,943.192064923354,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage23.smt2",,990.999526290857,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage24.smt2",,909.960852544585,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage3.smt2",,886.440677966102,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage4.smt2",,828.18685669042,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage5.smt2",,915.936952714536,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage6.smt2",,973.476035365286,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage7.smt2",,836.465413834466,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage8.smt2",,952.64116575592,1000,1000,0,0,0,
"QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage9.smt2",,1036.15651312531,1000,1000,0,0,0,
"QF_LIA/arctic-matrix/constraint-1000539.smt2",,900.172117039587,1000,1000,0,0,0,
